split,turbine_id,lead_hour,n,expected,excluded,missing_observed,missing_persistence,origins,first_origin,last_origin,model_mae,model_rmse,persistence_mae,persistence_rmse,power_curve_mae,power_curve_rmse,forecast_wind_mean_ms,observed_wind_mean_ms
holdout,turbine_1,14,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.4231598,0.4258732,0.4923333,0.6217006,0.2985976,0.4602967,2.8180000,4.9803333
holdout,turbine_1,15,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.4585805,0.4685088,0.5280000,0.6552667,0.3326556,0.5156023,2.7699999,4.8303333
holdout,turbine_1,16,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.4344120,0.4481391,0.5036667,0.6460233,0.3089447,0.4787907,2.8839999,5.4873333
holdout,turbine_1,17,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.4502049,0.4797455,0.5126667,0.6661306,0.3163424,0.4994591,2.9180000,5.6403333
holdout,turbine_1,18,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.4242698,0.4726241,0.5720000,0.6780225,0.2922623,0.4658011,2.8459999,5.3763333
holdout,turbine_1,19,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.3975445,0.4512539,0.5566667,0.6619273,0.3149124,0.4622575,2.8440000,5.3333333
holdout,turbine_1,20,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.3857649,0.4430792,0.6316667,0.6922022,0.4441340,0.5790265,2.8419999,6.5346667
holdout,turbine_1,21,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.4022588,0.4359158,0.6960000,0.7245052,0.4292717,0.5628957,2.9080000,7.3086667
holdout,turbine_1,22,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.3723056,0.4279315,0.6626667,0.6876304,0.3636344,0.5010512,2.9820001,6.8406667
holdout,turbine_1,23,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.3474565,0.3973610,0.5366667,0.6129165,0.4662406,0.5781541,3.0220000,7.5430000
holdout,turbine_1,24,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.3700143,0.4270699,0.5043333,0.5718056,0.5425418,0.6632443,3.1000000,7.4836667
holdout,turbine_2,1,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.2943558,0.3318442,0.1256667,0.1771738,0.4304803,0.5541457,2.8980000,6.9060000
holdout,turbine_2,2,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.2339402,0.2949691,0.2323333,0.2883565,0.2978698,0.3823877,2.9620000,6.0470000
holdout,turbine_2,3,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.2423254,0.2999005,0.2860000,0.4021125,0.2459373,0.2897270,2.9520000,5.5720000
holdout,turbine_2,4,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.2718124,0.3299953,0.1470000,0.2442574,0.3893075,0.4962059,2.9080000,6.5826667
holdout,turbine_2,5,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.2474196,0.2926250,0.2030000,0.2547690,0.3277631,0.4146620,2.8820000,6.1000000
holdout,turbine_2,6,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.2819572,0.3188310,0.3340000,0.4805194,0.1961462,0.2736293,2.7320000,4.9730000
holdout,turbine_2,7,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.3645041,0.3845404,0.4660000,0.6081794,0.0629437,0.1213298,2.6700000,3.7556667
holdout,turbine_2,8,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.3096338,0.3318255,0.4160000,0.5225206,0.1229913,0.1902703,2.4940000,4.6406667
holdout,turbine_2,9,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.3285620,0.3480402,0.4210000,0.5265902,0.1232572,0.1861148,2.4460000,3.8690000
holdout,turbine_2,10,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.3837802,0.3975473,0.4520000,0.5834086,0.0845180,0.1231860,2.5100000,3.8616667
holdout,turbine_2,11,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.3987345,0.4150265,0.4590000,0.5997171,0.0777730,0.1159263,2.6540000,3.7570000
holdout,turbine_2,12,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.3774650,0.4233590,0.4250000,0.6074651,0.1138775,0.2279677,2.8560000,3.3416667
holdout,turbine_2,13,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.4051587,0.4301052,0.4403333,0.6148889,0.2194011,0.3895254,2.8820000,4.3533333
holdout,turbine_2,14,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.4405804,0.4528591,0.5346667,0.6538867,0.3129309,0.4819229,2.8180000,5.1970000
holdout,turbine_2,15,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.4624116,0.4765322,0.5503333,0.6724809,0.3276556,0.5076128,2.7699999,4.8556667
holdout,turbine_2,16,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.4594950,0.4753961,0.5613333,0.6769351,0.3392780,0.5132001,2.8839999,5.7633333
holdout,turbine_2,17,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.4578557,0.4836521,0.5856667,0.6944506,0.3620090,0.5340898,2.9180000,5.7886667
holdout,turbine_2,18,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.4259837,0.4698477,0.5836667,0.6968401,0.3372623,0.4936048,2.8459999,5.5823333
holdout,turbine_2,19,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.4353645,0.4789715,0.5653333,0.6832146,0.3402457,0.4998933,2.8440000,5.5323333
holdout,turbine_2,20,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.4178883,0.4572724,0.6800000,0.7229715,0.4638007,0.6097731,2.8419999,6.9006667
holdout,turbine_2,21,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.3950552,0.4419712,0.6833333,0.7327945,0.4366050,0.5670172,2.9080000,7.4843333
holdout,turbine_2,22,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.4357991,0.4649472,0.6676667,0.6982156,0.3733010,0.5085828,2.9820001,6.9500000
holdout,turbine_2,23,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.3640171,0.4105801,0.5663333,0.6367273,0.4639073,0.5742516,3.0220000,7.6956667
holdout,turbine_2,24,5,5,0,0,0,5,2026-01-25T00:00:00+00:00,2026-01-29T00:00:00+00:00,0.3933095,0.4297508,0.5456667,0.6073279,0.5292084,0.6571026,3.1000000,7.5536667
